stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
393,GRAWESW,Granby St @ Westbourne Pkwy,41.78658,-72.702654,,,,,,0
394,CORGARN,Cornwall St @ Garfield St,41.787689,-72.7039,,,,,,0
395,CORBURN,Cornwall St @ Burlington St,41.78852,-72.703475,,,,,,0
396,CORSHAN,Cornwall St @ Sharon St,41.78944,-72.702952,,,,,,0
397,CORHEBN,Cornwall St @ Hebron St,41.790476,-72.702235,,,,,,0
398,CORCHAN,Cornwall St @ Chatham St,41.791449,-72.701518,,,,,,0
399,CORPLAN,Cornwall St @ Plainfield St,41.792387,-72.700874,,,,,,0
400,CORTHON,Cornwall St @ Thomaston St,41.793173,-72.70034,,,,,,0
401,CORPEMN,Cornwall St @ Pembroke St,41.793968,-72.699926,,,,,,0
402,CORCOLN,Cornwall St @ Colebrook St,41.794719,-72.699658,,,,,,0
403,HOLCORW,Holcomb St @ Cornwall St,41.795792,-72.700783,,,,,,0
404,PALHOLN,Palm St @ Holcomb St,41.795838,-72.70191,,,,,,0
405,PALANDN,Palm St @ Andover St,41.796437,-72.701897,,,,,,0
406,PALWESN,Palm St @ Westminster St,41.797545,-72.701786,,,,,,0
407,PALBRAN,Palm St @ Branford St,41.798465,-72.701397,,,,,,0
408,PALMANN,Palm St @ Manchester St,41.799484,-72.701116,,,,,,0
409,PALTOWN,Palm St @ Tower Ave,41.800682,-72.701126,,,,,,0
410,PALPOMN,Palm St @ opp Pomfret St,41.801719,-72.701306,,,,,,0
411,PALDURN,Palm St @ opp Durham St,41.802747,-72.701462,,,,,,0
412,PALSIMN,Palm St @ Simpson St,41.803667,-72.701508,,,,,,0
413,PALHARN,Palm St @ Harold St,41.804427,-72.701495,,,,,,0
414,BURPALW,Burnham St @ Palm St,41.805151,-72.702124,,,,,,0
415,BURLYMW,Burnham St @ Opp Lyme St,41.805082,-72.70456,,,,,,0
416,BURCANW,Burnham St @ N Canaan St,41.805047,-72.705518,,,,,,0
417,BURGRAW,Burnham St @ Granby St,41.804995,-72.706949,,,,,,0
423,GRABOWS,Granby St @ Bowles Park,41.803396,-72.70757,,,,,,0
424,BURCANE,Burnham St @ Opp N Canaan St,41.804877,-72.705312,,,,,,0
425,BURLYMIB,Burnham St @ Lyme St,41.804921,-72.703918,,,,,,0
426,BURPALE,Burnham St @ Palm St,41.804973,-72.701967,,,,,,0
427,PALHARS,Palm St @ Harold St,41.804445,-72.701737,,,,,,0
428,PALSIMS,Palm St @ Simpson St,41.803641,-72.701751,,,,,,0
429,PALDURS,Palm St @ Durham St,41.802684,-72.701704,,,,,,0
430,PALPOMS,Palm St @ Pomfret St,41.801638,-72.701536,,,,,,0
431,PALTOWS,Palm St @ Tower Ave,41.800262,-72.701345,,,,,,0
432,PALMANS,Palm St @ Manchester St,41.799064,-72.70142,,,,,,0
433,PALBRAS,Palm St @ Branford St,41.798421,-72.701675,,,,,,0
434,PALWESS,Palm St @ Westminster St,41.797474,-72.702041,,,,,,0
435,PALANDS,Palm St @ Andover St,41.796393,-72.70214,,,,,,0
436,PALHOLS,Palm St @ Holcomb St,41.795794,-72.702153,,,,,,0
438,PALCOLS,Palm St @ Colebrook St,41.794766,-72.702155,,,,,,0
439,COLCORE,Colebrook St @ Cornwall St,41.794701,-72.700204,,,,,,0
440,CORCOLS,Cornwall St @ Colebrook St,41.794567,-72.699925,,,,,,0
442,CORTHOS,Cornwall St @ Thomaston St,41.792861,-72.700813,,,,,,0
443,CORPLAS,Cornwall St @ Plainfield St,41.79203,-72.701372,,,,,,0
444,CORCHAS,Cornwall St @ Chatham St,41.791137,-72.702028,,,,,,0
445,CORHEBS,Cornwall St @ Hebron St,41.790146,-72.702733,,,,,,0
446,CORSHAS,Cornwall St @ Sharon St,41.789136,-72.703389,,,,,,0
448,GRAGARS,Granby St @ Garfield St,41.787475,-72.704179,,,,,,0
449,WESGRAS,Westbourne Pkwy @ Granby St,41.786106,-72.702522,,,,,,0
450,HOMINSS,Homestead Ave @ Interstate Battery,41.782898,-72.702915,,,,,,0
451,HOMBALS,Homestead Ave @ opp Baltimore St,41.781422,-72.70213,,,,,,0
452,HOMADAS,Homestead Ave @ opp Adams St,41.780169,-72.700703,,,,,,0
453,HOMMILE,Homestead Ave @ opp Milford St,41.779856,-72.700206,,,,,,0
454,HOMWOOE,Homestead Ave @ Woodland St,41.778701,-72.698039,,,,,,0
455,WOWOOS,Woodland St @ Woodland Dr,41.777236,-72.698563,,,,,,0
457,ASH234E,Ashley St @ opp 234 Ashley St,41.775384,-72.697016,,,,,,0
458,ASHATWE,Ashley St @ Atwood St,41.775196,-72.696083,,,,,,0
